iter	Passed	Remaining
0	1	192
1	3	194
2	5	180
3	6	164
4	8	162
5	10	158
6	12	165
7	14	161
8	15	159
9	17	156
10	19	153
11	20	151
12	22	149
13	23	146
14	25	145
15	27	144
16	28	141
17	30	137
18	31	135
19	33	133
20	34	130
21	35	127
22	37	124
23	38	122
24	40	120
25	41	117
26	42	114
27	43	111
28	44	108
29	45	106
30	46	103
31	47	101
32	48	98
33	49	96
34	50	94
35	51	92
36	52	90
37	54	88
38	55	86
39	56	84
40	57	82
41	57	79
42	58	77
43	59	75
44	59	72
45	60	70
46	61	68
47	61	66
48	62	65
49	63	63
50	63	61
51	64	59
52	65	57
53	65	56
54	66	54
55	66	52
56	67	50
57	67	49
58	68	47
59	69	46
60	69	44
61	70	43
62	71	41
63	71	40
64	72	39
65	73	37
66	73	36
67	74	34
68	75	33
69	75	32
70	76	31
71	76	29
72	77	28
73	78	27
74	79	26
75	79	25
76	80	24
77	81	22
78	81	21
79	82	20
80	83	19
81	83	18
82	84	17
83	85	16
84	85	15
85	86	14
86	87	13
87	88	12
88	88	10
89	89	9
90	90	8
91	90	7
92	91	6
93	92	5
94	92	4
95	93	3
96	94	2
97	94	1
98	95	0
99	95	0
